City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Rezekne,LV,56.5,27.3167,37.38,75,100,4.03,overcast clouds
295,Praia,CV,14.9215,-23.5087,70.34,73,40,6.91,scattered clouds
296,Lillooet,CA,50.6856,-121.942,62.74,47,100,5.17,overcast clouds
297,Sobolevo,RU,54.4299,31.8996,36.03,82,15,4.16,few clouds
298,Edson,CA,53.5835,-116.4356,60.94,25,40,3.44,scattered clouds
299,Borgo San Lorenzo,IT,43.9553,11.3835,60.89,81,92,2.37,overcast clouds
300,Mantua,IT,45.1667,10.7833,72.64,82,100,1.01,overcast clouds
301,Pevek,RU,69.7008,170.3133,36.25,91,72,6.91,broken clouds
302,Mandan,US,46.8267,-100.8896,53.01,47,0,6.91,clear sky
303,Chapleau,CA,47.8405,-83.4034,36.54,81,60,6.02,broken clouds
304,Rawson,AR,-43.3002,-65.1023,45.88,60,8,15.03,clear sky
305,Buin,CL,-33.7333,-70.75,65.12,46,100,1.97,overcast clouds
306,Katsina,NG,12.9894,7.6006,78.6,48,89,4.88,overcast clouds
307,Winnemucca,US,40.973,-117.7357,66.25,16,0,4.61,clear sky
308,Eirunepe,BR,-6.6603,-69.8736,71.87,90,100,2.26,overcast clouds
309,Port Blair,IN,11.6667,92.75,82.44,89,100,11.5,moderate rain
310,Pajan,EC,-1.5667,-80.4167,73.51,95,100,3.98,light rain
311,Ornskoldsvik,SE,63.2909,18.7153,31.15,100,75,3.44,fog
312,Lake Elsinore,US,33.6681,-117.3273,72.68,53,0,8.01,clear sky
313,Leningradskiy,RU,69.3833,178.4167,38.35,89,32,2.71,scattered clouds
314,Alyangula,AU,-13.8483,136.4192,84.92,60,92,13.94,overcast clouds
315,Ketchikan,US,55.3422,-131.6461,50.47,80,100,10.02,light rain
316,Puerto Ayacucho,VE,5.6639,-67.6236,75.33,90,100,4.34,overcast clouds
317,Telimele,GN,10.9167,-13.3333,71.37,94,79,1.88,broken clouds
318,Yuancheng,CN,36.652,107.7896,71.47,40,0,7.76,clear sky
319,Houston,US,29.7633,-95.3633,79.09,75,75,9.22,broken clouds
320,Aykhal,RU,66.0,111.5,55.24,53,100,10.76,overcast clouds
321,Ust-Omchug,RU,61.15,149.6333,36.41,99,100,3.69,light rain
322,Longonjo,AO,-12.9067,15.2533,56.5,67,29,1.48,scattered clouds
323,Rovinj,HR,45.08,13.64,71.42,88,98,4.36,overcast clouds
324,Buzmeyin,TM,38.0507,58.2056,60.53,59,0,6.91,clear sky
325,Nouakchott,MR,18.0858,-15.9785,64.33,91,0,15.79,clear sky
326,Dwarka,IN,22.2394,68.9678,83.34,77,82,23.91,broken clouds
327,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,52.41,80,15,5.88,few clouds
328,Belmonte,BR,-15.8631,-38.8828,71.49,82,65,7.81,broken clouds
329,Dingle,PH,10.9995,122.6711,86.83,65,94,7.85,overcast clouds
330,Touros,BR,-5.1989,-35.4608,74.86,92,23,11.86,few clouds
